n_rows,n_cols,with_walls,seed,corridor_rows,k_neighbors,n_zones,nodes_A,edges_A,nodes_B,edges_B,M1_A,M1_B,M2,M3,M4_A,M4_B
3,2,False,2,3,2,6,13,14,19,25,1.0,1.0,1.0,0.8885,undefined,undefined
3,2,False,2,3,3,6,13,14,19,31,1.0,1.0,1.0,0.8305,undefined,undefined
3,2,False,2,3,4,6,13,14,19,37,1.0,1.0,1.0,0.8305,undefined,undefined
3,2,False,3,3,2,6,13,14,19,25,1.0,1.0,1.0,0.8885,undefined,undefined
3,2,False,3,3,3,6,13,14,19,31,1.0,1.0,1.0,0.8305,undefined,undefined
3,2,False,3,3,4,6,13,14,19,37,1.0,1.0,1.0,0.8305,undefined,undefined
3,2,True,1,3,2,6,13,10,19,13,0.3333,0.1667,0.5,undefined,0.5,0.9231
3,2,True,1,3,3,6,13,10,19,13,0.3333,0.1667,0.5,undefined,0.5,0.9231
3,2,True,1,3,4,6,13,10,19,13,0.3333,0.1667,0.5,undefined,0.5,0.9231
3,2,True,2,3,2,6,13,10,19,13,0.3333,0.1667,0.5,undefined,0.5,0.9231
3,2,True,2,3,3,6,13,10,19,13,0.3333,0.1667,0.5,undefined,0.5,0.9231
3,2,True,2,3,4,6,13,10,19,13,0.3333,0.1667,0.5,undefined,0.5,0.9231
3,2,True,3,3,2,6,13,10,19,13,0.3333,0.1667,0.5,undefined,0.5,0.9231
3,2,True,3,3,3,6,13,10,19,13,0.3333,0.1667,0.5,undefined,0.5,0.9231
3,2,True,3,3,4,6,13,10,19,13,0.3333,0.1667,0.5,undefined,0.5,0.9231
3,4,False,1,3,2,12,25,30,37,49,1.0,1.0,1.0,0.9068,undefined,undefined
3,4,False,1,3,3,12,25,30,37,61,1.0,1.0,1.0,0.8861,undefined,undefined
3,4,False,1,3,4,12,25,30,37,73,1.0,1.0,1.0,0.8442,undefined,undefined
3,4,False,2,3,2,12,25,30,37,49,1.0,1.0,1.0,0.9068,undefined,undefined
